timestep	potential_energy	kinetic_energy	temperature	pressure	volume
0	-184.5703125	0	0	-0.04541015625	8000
5000	-4308.845703	1837.091797	1.225953817	2.30598259	1395.726929
10000	-2188.278809	3819.984131	2.549205303	1.457881927	2490.291992
15000	-2382.299561	3462.797852	2.310842752	1.452476144	2292.786377
20000	-2840.594482	2946.552246	1.966334581	1.624854684	1972.851074
25000	-3296.471191	2762.64502	1.843606949	1.476272464	1773.279541
30000	-3493.651123	2479.634033	1.654744148	1.530054569	1700.434692
35000	-3600.462891	2512.132324	1.676431298	1.3028543	1665.167358
40000	-3688.744873	2487.481689	1.659981132	1.531770945	1620.473389
45000	-3637.310059	2369.21167	1.581055522	1.650429606	1626.213623
50000	-3771.354248	2455.295898	1.638502479	1.656084299	1583.958252
55000	-3697.414062	2334.256592	1.557728767	1.612023234	1605.941406
60000	-3648.234619	2393.570801	1.597311258	1.547855735	1637.414307
65000	-3616.870605	2479.76123	1.654829025	1.536361814	1635.318726
70000	-3576.934814	2439.231445	1.627782106	1.947404623	1615.998535
75000	-3753.654785	2483.93457	1.657613993	1.298807979	1625.07251
80000	-3763.002197	2300.800293	1.535402298	1.52697289	1585.50354
85000	-3741.808838	2253.530762	1.503857732	1.608479381	1586.291504
90000	-3847.17334	2325.641846	1.551979899	1.496003866	1563.482666
95000	-3712.549316	2336.039551	1.558918595	1.422122121	1620.912964
100000	-3670.654785	2359.787354	1.574766397	1.336960673	1628.698486
105000	-3662.383789	2362.424072	1.576525927	1.581570625	1622.542603
110000	-3620.971191	2453.819336	1.637517095	1.358441114	1657.221191
115000	-3605.655273	2443.391602	1.630558372	1.544142365	1643.622559
120000	-3683.762451	2447.862305	1.633541822	1.851214051	1595.067749
125000	-3702.626953	2304.204346	1.53767395	1.408570409	1627.920654
130000	-3706.293945	2352.623535	1.569985747	1.359536409	1632.391602
135000	-3690.494873	2398.869629	1.600847244	1.377549648	1631.71228
140000	-3721.510742	2396.598145	1.599331498	1.607899427	1601.902466
145000	-3740.64917	2332.137695	1.556314826	1.413610697	1610.300781
150000	-3813.405762	2440.34082	1.628522396	1.849611282	1558.310181
155000	-3663.11084	2348.07959	1.566953421	1.402254224	1638.735352
160000	-3687.729492	2411.054443	1.608978629	1.297613859	1635.687134
165000	-3733.949707	2450.929932	1.635588884	1.436994076	1615.39502
170000	-3710.668945	2338.276855	1.560411692	1.789280415	1588.51416
175000	-3709.399902	2250.81665	1.502046466	1.455386639	1613.881958
180000	-3704.412354	2335.1875	1.558350086	1.528192043	1614.916504
185000	-3558.943359	2396.075684	1.598982811	1.427580476	1662.9552
190000	-3679.640137	2466.751709	1.646147251	1.391640425	1634.728149
195000	-3612.029785	2455.831543	1.638859868	1.301875114	1658.866333
200000	-3656.233398	2461.291748	1.642503738	1.472427487	1635.186768
205000	-3573.340332	2283.30127	1.523724556	1.485861301	1649.225342
210000	-3746.291016	2335.425537	1.558508873	1.612841845	1593.139526
215000	-3650.571533	2449.991211	1.63496244	1.56253612	1631.814453
220000	-3671.116211	2405.875732	1.605522752	1.509671569	1624.64978
