timestep	potential_energy	kinetic_energy	temperature	pressure	volume
0	-388.828125	0	0	-0.04783203453	16000
5000	-13843.50195	556.9259033	0.1857348382	1.519055247	2028.900513
10000	-13370.91211	1112.86731	0.3711413443	1.580467939	2087.272705
15000	-13077.50977	1421.276367	0.4739958048	1.40833199	2132.901855
20000	-12978.58594	1518.631836	0.5064638853	1.47433269	2136.940186
25000	-13039.41602	1572.196777	0.524327755	1.550063133	2129.450195
30000	-13045.24609	1531.918457	0.5108949542	1.648058176	2125.747314
35000	-13132.46875	1529.519287	0.5100948215	1.574137211	2122.876221
40000	-13156.46289	1504.766235	0.5018396974	1.601288676	2120.898682
45000	-13250.85156	1536.081421	0.5122833252	1.366498828	2113.589355
50000	-13337.8623	1500.707764	0.5004861951	1.571999669	2093.160156
55000	-13464.64258	1508.434814	0.5030631423	1.665657997	2091.365234
60000	-13452.72461	1469.81897	0.4901847541	1.474194407	2101.17041
65000	-13666.69531	1482.577881	0.4944398701	1.723317385	2060.250244
70000	-13729.36035	1489.195435	0.4966468215	1.621489167	2063.152832
75000	-13864.95703	1526.620483	0.5091280937	1.336691976	2058.479492
80000	-13854.72266	1515.063965	0.5052739978	1.410413504	2047.379395
85000	-13929.86719	1529.001709	0.5099222064	1.353043318	2046.482178
90000	-13937.77344	1489.706055	0.496817112	1.553251624	2039.71936
95000	-13952.97852	1549.263184	0.5166794062	1.675998449	2029.040283
100000	-13947.23145	1543.265137	0.5146790743	1.560889244	2037.709351
105000	-13973.25781	1508.512695	0.5030891299	1.446401715	2046.242065
110000	-13986.26367	1477.260498	0.4926665127	1.520774484	2041.532104
115000	-13978.54102	1470.429688	0.490388453	1.420146346	2047.651855
120000	-14003.89453	1563.970825	0.5215843916	1.644937515	2039.805054
125000	-13981.52734	1527.133057	0.5092990398	1.503424883	2043.881958
130000	-14037.26172	1529.772461	0.5101792812	1.406787157	2051.685059
135000	-14016.17578	1500.993408	0.5005814433	1.398754358	2041.142334
140000	-13978.125	1476.672729	0.4924705029	1.342965603	2049.754395
145000	-13998.97266	1507.512817	0.5027556419	1.593539476	2036.268188
150000	-14016.88672	1505.236572	0.5019965172	1.388266087	2047.2323
155000	-13973.31543	1479.047607	0.4932625294	1.636591315	2039.304199
160000	-13988.9082	1513.597656	0.5047849417	1.598477483	2040.796021
165000	-14023.99414	1500.05542	0.5002686381	1.551287651	2041.310547
170000	-14046.40234	1475.917847	0.4922187328	1.773235798	2033.989746
175000	-14003.02441	1468.678101	0.4898042977	1.508929849	2042.209229
180000	-13969.92969	1494.553711	0.4984337986	1.519759178	2043.824341
185000	-13991.6709	1505.78833	0.5021805763	1.565070152	2041.72583
190000	-14031.47363	1515.630371	0.5054628849	1.539527416	2040.046875
195000	-14010.06445	1478.339844	0.4930264652	1.482514858	2043.338623
200000	-14067.76562	1492.371094	0.4977059066	1.65091157	2036.008667
205000	-14056.00586	1501.146484	0.5006325245	1.400173903	2039.603394
210000	-14003.42383	1526.095093	0.5089528561	1.403214931	2042.250366
215000	-13993.00391	1535.997559	0.512255311	1.424935102	2045.356201
220000	-13993.65039	1520.21106	0.5069905519	1.687667608	2028.533691
225000	-14011.83203	1477.090576	0.4926098585	1.410524249	2042.889282
230000	-14042.61328	1479.04126	0.4932604134	1.553336263	2038.271973
235000	-14019.04688	1454.059448	0.4849289656	1.561948657	2036.572876
240000	-14034.79688	1505.193359	0.5019821525	1.604784727	2034.726562
245000	-14005.98047	1501.513672	0.5007549524	1.46863091	2040.317627
250000	-14013.11914	1507.79541	0.5028499365	1.33501184	2047.807129
255000	-14027.88184	1528.699585	0.5098214746	1.559812546	2032.760986
260000	-14053.49121	1486.071045	0.4956048429	1.53230381	2038.273193
265000	-14013.13672	1477.92395	0.4928877652	1.652438998	2039.717041
270000	-13993.01758	1457.99707	0.4862421751	1.444385886	2040.110107
275000	-14009.54395	1505.560059	0.5021044016	1.523761034	2040.395386
280000	-14029.25195	1581.120361	0.5273038149	1.605987668	2036.036621
285000	-14026.2793	1525.30835	0.5086904764	1.69880569	2036.3302
290000	-14044.08984	1488.459961	0.4964015484	1.523127675	2036.342285
295000	-14050.11719	1501.765625	0.500838995	1.52443707	2033.673218
300000	-13988.6582	1461.64624	0.4874591529	1.412105083	2043.851807
305000	-13966.22949	1498.686157	0.4998119771	1.653276443	2031.833862
