timestep	potential_energy	kinetic_energy	temperature	pressure	volume
0	-221.4843903	0	0	-0.05449219048	8000
5000	-6515.742188	1377.854004	0.9194888473	1.887899518	1197.545044
10000	-7910.858887	819.6580811	0.5469856858	1.441503406	1049.652954
15000	-8523.623047	312.7653809	0.2087189704	1.577989578	991.5689087
20000	-8680.027344	220.0062866	0.1468176842	1.49611485	980.6254272
25000	-8535.076172	416.0223389	0.2776258588	1.494570971	994.0506592
30000	-8273.1875	717.3972168	0.4787435532	1.480164766	1016.912354
35000	-8697.242188	414.4371338	0.2765679955	1.46231842	982.1472168
40000	-9096.951172	289.5341492	0.1932159811	1.790994287	951.2946167
45000	-8979.204102	436.2166138	0.2911021709	1.692476988	961.1276855
50000	-8807.025391	630.8192139	0.4209671021	1.403774381	977.0110474
55000	-9128.453125	375.6890869	0.2507100999	1.318274498	954.4811401
60000	-9213.050781	316.9864502	0.2115358412	1.542407513	946.0733032
65000	-8929.589844	569.4328003	0.3800018728	1.620811105	965.3109131
70000	-8913.332031	523.5447388	0.3493792117	1.566065311	966.6595459
75000	-9202.686523	303.0994873	0.2022686005	1.596497536	946.1519165
80000	-9116.570312	393.9359131	0.2628868222	1.817272902	949.6165771
85000	-8814.673828	632.3461914	0.4219861329	1.392784119	976.5415039
90000	-9099.413086	412.0314941	0.2749626338	1.227651119	957.6397705
95000	-9222.538086	314.7941589	0.2100728452	1.468731761	946.1907959
100000	-8964.253906	523.3341064	0.3492386341	1.193481445	968.1618042
105000	-8896.239258	562.572998	0.375424087	1.605762362	967.6704712
110000	-9191.713867	324.0275879	0.2162346244	1.660652757	946.0388184
115000	-9139.789062	376.4628296	0.251226455	1.143226981	955.8347168
120000	-8839.301758	618.2818604	0.4126005173	1.620996475	971.9281006
125000	-9068.621094	433.4587402	0.2892617583	1.646955729	955.118042
130000	-9214.712891	313.5523682	0.2092441618	1.514233351	946.3137207
135000	-8982.195312	486.8717346	0.324906081	1.532462835	962.3035278
140000	-8880.171875	567.427124	0.3786634207	1.549057126	969.6417847
